Date,Tenor,Yield
2025-01-02,1M,12.07
2025-01-02,3M,11.74
2025-01-02,6M,11.8
2025-01-02,1Y,11.95
2025-01-02,2Y,12.2
2025-01-02,3Y,12.13
2025-01-02,5Y,12.18
2025-01-02,7Y,12.19
2025-01-02,10Y,12.16
2025-01-02,15Y,12.11
2025-01-02,20Y,12.11
2025-01-03,1M,12.09
2025-01-03,3M,11.74
2025-01-03,6M,11.72
2025-01-03,1Y,11.96
2025-01-03,2Y,12.09
2025-01-03,3Y,12.11
2025-01-03,5Y,12.15
2025-01-03,7Y,12.16
2025-01-03,10Y,12.11
2025-01-03,15Y,12.07
2025-01-03,20Y,12.03
2025-01-07,1M,12.08
2025-01-07,3M,11.74
2025-01-07,6M,11.75
2025-01-07,1Y,11.92
2025-01-07,2Y,12.05
2025-01-07,3Y,12.08
2025-01-07,5Y,12.14
2025-01-07,7Y,12.14
2025-01-07,10Y,12.09
2025-01-07,15Y,12.06
2025-01-07,20Y,12.03
2025-01-09,1M,11.97
2025-01-09,3M,11.64
2025-01-09,6M,11.63
2025-01-09,1Y,11.62
2025-01-09,2Y,11.9
2025-01-09,3Y,11.91
2025-01-09,5Y,12.09
2025-01-09,7Y,12.1
2025-01-09,10Y,12.05
2025-01-09,15Y,12.01
2025-01-09,20Y,11.98
2025-01-10,1M,12.04
2025-01-10,3M,11.65
2025-01-10,6M,11.6
2025-01-10,1Y,11.61
2025-01-10,2Y,11.9
2025-01-10,3Y,11.92
2025-01-10,5Y,12.1
2025-01-10,7Y,12.1
2025-01-10,10Y,12.06
2025-01-10,15Y,12.01
2025-01-10,20Y,11.98
2025-01-13,1M,12.11
2025-01-13,3M,11.67
2025-01-13,6M,11.65
2025-01-13,1Y,11.61
2025-01-13,2Y,11.96
2025-01-13,3Y,11.94
2025-01-13,5Y,12.11
2025-01-13,7Y,12.1
2025-01-13,10Y,12.06
2025-01-13,15Y,12.01
2025-01-13,20Y,11.97
2025-01-14,1M,12.18
2025-01-14,3M,11.7
2025-01-14,6M,11.68
2025-01-14,1Y,11.63
2025-01-14,2Y,12.0
2025-01-14,3Y,11.97
2025-01-14,5Y,12.14
2025-01-14,7Y,12.11
2025-01-14,10Y,12.09
2025-01-14,15Y,12.03
2025-01-14,20Y,11.97
2025-01-15,1M,12.22
2025-01-15,3M,11.75
2025-01-15,6M,11.74
2025-01-15,1Y,11.62
2025-01-15,2Y,11.91
2025-01-15,3Y,11.97
2025-01-15,5Y,12.15
2025-01-15,7Y,12.11
2025-01-15,10Y,12.1
2025-01-15,15Y,12.05
2025-01-15,20Y,11.99
2025-01-16,1M,12.28
2025-01-16,3M,11.75
2025-01-16,6M,11.73
2025-01-16,1Y,11.6
2025-01-16,2Y,11.76
2025-01-16,3Y,11.8
2025-01-16,5Y,12.3
2025-01-16,7Y,12.19
2025-01-16,10Y,12.19
2025-01-16,15Y,12.07
2025-01-16,20Y,12.01
2025-01-17,1M,12.29
2025-01-17,3M,11.75
2025-01-17,6M,11.71
2025-01-17,1Y,11.61
2025-01-17,2Y,11.68
2025-01-17,3Y,11.77
2025-01-17,5Y,12.29
2025-01-17,7Y,12.24
2025-01-17,10Y,12.27
2025-01-17,15Y,12.16
2025-01-17,20Y,12.1
2025-01-20,1M,12.3
2025-01-20,3M,11.78
2025-01-20,6M,11.74
2025-01-20,1Y,11.61
2025-01-20,2Y,11.65
2025-01-20,3Y,11.66
2025-01-20,5Y,12.25
2025-01-20,7Y,12.19
2025-01-20,10Y,12.19
2025-01-20,15Y,12.09
2025-01-20,20Y,12.03
2025-01-21,1M,12.31
2025-01-21,3M,11.76
2025-01-21,6M,11.7
2025-01-21,1Y,11.58
2025-01-21,2Y,11.57
2025-01-21,3Y,11.52
2025-01-21,5Y,12.19
2025-01-21,7Y,12.17
2025-01-21,10Y,12.19
2025-01-21,15Y,12.09
2025-01-21,20Y,12.03
2025-01-22,1M,12.35
2025-01-22,3M,11.74
2025-01-22,6M,11.6
2025-01-22,1Y,11.5
2025-01-22,2Y,11.57
2025-01-22,3Y,11.51
2025-01-22,5Y,12.18
2025-01-22,7Y,12.16
2025-01-22,10Y,12.19
2025-01-22,15Y,12.11
2025-01-22,20Y,12.06
2025-01-23,1M,12.34
2025-01-23,3M,11.56
2025-01-23,6M,11.44
2025-01-23,1Y,11.34
2025-01-23,2Y,11.43
2025-01-23,3Y,11.49
2025-01-23,5Y,12.11
2025-01-23,7Y,12.12
2025-01-23,10Y,12.15
2025-01-23,15Y,12.05
2025-01-23,20Y,12.01
2025-01-24,1M,12.31
2025-01-24,3M,11.57
2025-01-24,6M,11.47
2025-01-24,1Y,11.34
2025-01-24,2Y,11.47
2025-01-24,3Y,11.5
2025-01-24,5Y,12.1
2025-01-24,7Y,12.12
2025-01-24,10Y,12.16
2025-01-24,15Y,12.06
2025-01-24,20Y,12.02
2025-01-27,1M,12.27
2025-01-27,3M,11.56
2025-01-27,6M,11.49
2025-01-27,1Y,11.32
2025-01-27,2Y,11.5
2025-01-27,3Y,11.51
2025-01-27,5Y,12.16
2025-01-27,7Y,12.14
2025-01-27,10Y,12.15
2025-01-27,15Y,12.08
2025-01-27,20Y,12.03
2025-01-28,1M,12.01
2025-01-28,3M,11.71
2025-01-28,6M,11.61
2025-01-28,1Y,11.43
2025-01-28,2Y,11.69
2025-01-28,3Y,11.63
2025-01-28,5Y,12.2
2025-01-28,7Y,12.15
2025-01-28,10Y,12.17
2025-01-28,15Y,12.07
2025-01-28,20Y,12.01
2025-01-29,1M,11.99
2025-01-29,3M,11.74
2025-01-29,6M,11.61
2025-01-29,1Y,11.43
2025-01-29,2Y,11.69
2025-01-29,3Y,11.64
2025-01-29,5Y,12.2
2025-01-29,7Y,12.15
2025-01-29,10Y,12.16
2025-01-29,15Y,12.06
2025-01-29,20Y,12.01
2025-01-30,1M,11.99
2025-01-30,3M,11.76
2025-01-30,6M,11.64
2025-01-30,1Y,11.46
2025-01-30,2Y,11.71
2025-01-30,3Y,11.66
2025-01-30,5Y,12.24
2025-01-30,7Y,12.17
2025-01-30,10Y,12.16
2025-01-30,15Y,12.08
2025-01-30,20Y,12.02
2025-01-31,1M,12.01
2025-01-31,3M,11.75
2025-01-31,6M,11.66
2025-01-31,1Y,11.47
2025-01-31,2Y,11.71
2025-01-31,3Y,11.66
2025-01-31,5Y,12.24
2025-01-31,7Y,12.18
2025-01-31,10Y,12.16
2025-01-31,15Y,12.08
2025-01-31,20Y,12.02
2025-02-03,1M,11.99
2025-02-03,3M,11.75
2025-02-03,6M,11.63
2025-02-03,1Y,11.46
2025-02-03,2Y,11.73
2025-02-03,3Y,11.67
2025-02-03,5Y,12.24
2025-02-03,7Y,12.15
2025-02-03,10Y,12.12
2025-02-03,15Y,12.06
2025-02-03,20Y,12.02
2025-02-04,1M,12.0
2025-02-04,3M,11.74
2025-02-04,6M,11.6
2025-02-04,1Y,11.48
2025-02-04,2Y,11.73
2025-02-04,3Y,11.71
2025-02-04,5Y,12.25
2025-02-04,7Y,12.18
2025-02-04,10Y,12.16
2025-02-04,15Y,12.08
2025-02-04,20Y,12.02
2025-02-06,1M,12.0
2025-02-06,3M,11.72
2025-02-06,6M,11.59
2025-02-06,1Y,11.59
2025-02-06,2Y,11.83
2025-02-06,3Y,11.74
2025-02-06,5Y,12.32
2025-02-06,7Y,12.24
2025-02-06,10Y,12.27
2025-02-06,15Y,12.18
2025-02-06,20Y,12.14
2025-02-07,1M,11.99
2025-02-07,3M,11.72
2025-02-07,6M,11.61
2025-02-07,1Y,11.58
2025-02-07,2Y,11.8
2025-02-07,3Y,11.75
2025-02-07,5Y,12.33
2025-02-07,7Y,12.25
2025-02-07,10Y,12.23
2025-02-07,15Y,12.15
2025-02-07,20Y,12.08
2025-02-10,1M,11.98
2025-02-10,3M,11.71
2025-02-10,6M,11.64
2025-02-10,1Y,11.59
2025-02-10,2Y,11.81
2025-02-10,3Y,11.75
2025-02-10,5Y,12.33
2025-02-10,7Y,12.22
2025-02-10,10Y,12.18
2025-02-10,15Y,12.1
2025-02-10,20Y,12.04
2025-02-11,1M,12.01
2025-02-11,3M,11.74
2025-02-11,6M,11.67
2025-02-11,1Y,11.6
2025-02-11,2Y,11.83
2025-02-11,3Y,11.81
2025-02-11,5Y,12.34
2025-02-11,7Y,12.25
2025-02-11,10Y,12.2
2025-02-11,15Y,12.13
2025-02-11,20Y,12.07
2025-02-13,1M,12.05
2025-02-13,3M,11.78
2025-02-13,6M,11.7
2025-02-13,1Y,11.63
2025-02-13,2Y,11.77
2025-02-13,3Y,11.82
2025-02-13,5Y,12.31
2025-02-13,7Y,12.26
2025-02-13,10Y,12.23
2025-02-13,15Y,12.14
2025-02-13,20Y,12.08
2025-02-17,1M,12.05
2025-02-17,3M,11.85
2025-02-17,6M,11.7
2025-02-17,1Y,11.61
2025-02-17,2Y,11.77
2025-02-17,3Y,11.82
2025-02-17,5Y,12.3
2025-02-17,7Y,12.26
2025-02-17,10Y,12.27
2025-02-17,15Y,12.14
2025-02-17,20Y,12.08
2025-02-19,1M,12.05
2025-02-19,3M,11.81
2025-02-19,6M,11.7
2025-02-19,1Y,11.6
2025-02-19,2Y,11.71
2025-02-19,3Y,11.82
2025-02-19,5Y,12.27
2025-02-19,7Y,12.26
2025-02-19,10Y,12.28
2025-02-19,15Y,12.14
2025-02-19,20Y,12.08
2025-02-20,1M,12.04
2025-02-20,3M,11.77
2025-02-20,6M,11.69
2025-02-20,1Y,11.6
2025-02-20,2Y,11.72
2025-02-20,3Y,11.81
2025-02-20,5Y,12.25
2025-02-20,7Y,12.25
2025-02-20,10Y,12.25
2025-02-20,15Y,12.13
2025-02-20,20Y,12.09
2025-02-21,1M,12.03
2025-02-21,3M,11.79
2025-02-21,6M,11.69
2025-02-21,1Y,11.6
2025-02-21,2Y,11.73
2025-02-21,3Y,11.8
2025-02-21,5Y,12.25
2025-02-21,7Y,12.26
2025-02-21,10Y,12.27
2025-02-21,15Y,12.14
2025-02-21,20Y,12.08
2025-02-24,1M,12.03
2025-02-24,3M,11.81
2025-02-24,6M,11.72
2025-02-24,1Y,11.6
2025-02-24,2Y,11.73
2025-02-24,3Y,11.79
2025-02-24,5Y,12.25
2025-02-24,7Y,12.26
2025-02-24,10Y,12.28
2025-02-24,15Y,12.14
2025-02-24,20Y,12.08
2025-02-25,1M,12.06
2025-02-25,3M,11.84
2025-02-25,6M,11.72
2025-02-25,1Y,11.62
2025-02-25,2Y,11.73
2025-02-25,3Y,11.79
2025-02-25,5Y,12.24
2025-02-25,7Y,12.26
2025-02-25,10Y,12.26
2025-02-25,15Y,12.14
2025-02-25,20Y,12.08
2025-02-26,1M,12.02
2025-02-26,3M,11.84
2025-02-26,6M,11.72
2025-02-26,1Y,11.63
2025-02-26,2Y,11.72
2025-02-26,3Y,11.79
2025-02-26,5Y,12.24
2025-02-26,7Y,12.25
2025-02-26,10Y,12.26
2025-02-26,15Y,12.14
2025-02-26,20Y,12.08
2025-02-27,1M,12.03
2025-02-27,3M,11.84
2025-02-27,6M,11.73
